,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5
61948,-13.391,21.69,60000,16770,11046,15937,936.829,9622.57,11908.3,61427.32,12612.777,2088.055
47768,25.14,50.02,1425,426,12958,19374,938.722,1.75,1.81,12.02,1.874,0.042
18958,20.785,53.8,1207,400,12920,19429,938.7,1.62,1.69,11.16,1.741,0.039
60532,12.01,38.26,0,400,13347,21188,937.447,2.01,2.09,13.87,2.163,0.049
46091,24.95,51.3,1354,417,12946,19385,938.688,1.7,1.77,11.72,1.827,0.041
780,26.738,53.12,17,400,12948,19874,939.759,0.27,0.28,1.85,0.288,0.007
44796,25.99,53.28,1109,400,12937,19455,938.709,1.76,1.82,12.09,1.885,0.043
27714,20.43,48.34,72,400,13199,20105,939.632,1.22,1.27,8.39,1.309,0.03
15607,12.051,49.48,1161,420,12886,19447,938.824,1.75,1.82,12.04,1.878,0.042
6545,-6.876,52.18,188,400,13160,20075,939.605,0.69,0.72,4.77,0.743,0.017
47765,25.88,47.6,1402,426,12958,19378,938.717,1.79,1.85,12.29,1.916,0.043
61745,0.605,32.2,60000,1354,12321,18192,936.858,83.3,86.54,573.3,89.399,2.019
3489,5.512,56.49,300,400,13127,19914,939.68,1.28,1.32,8.78,1.369,0.031
45919,24.64,52.92,1360,422,12943,19388,938.685,2.17,2.25,14.93,2.328,0.053
59211,-2.128,41.65,148,406,12791,20575,937.336,1.94,2.01,13.34,2.079,0.047
16809,13.65,49.07,1069,400,12895,19450,938.768,1.45,1.51,10.01,1.562,0.035
29562,21.93,50.34,34,400,13272,20188,939.666,2.13,2.21,14.67,2.287,0.052
27310,20.06,48.04,23,400,13207,20139,939.595,0.89,0.92,6.1,0.951,0.021
19090,20.771,48.81,1145,400,12927,19442,938.705,1.72,1.79,11.84,1.847,0.042
44541,24.64,53.24,1203,410,12919,19415,938.685,1.44,1.5,9.91,1.546,0.035
13720,19.0,51.68,1189,519,12841,19436,938.871,2.04,2.12,14.06,2.192,0.05
54831,27.04,40.24,0,400,13421,21268,937.462,1.84,1.92,12.7,1.98,0.045
16247,12.366,53.03,1117,410,12880,19441,938.771,1.52,1.57,10.43,1.626,0.037
23240,-21.893,48.14,1389,406,12971,19380,938.707,1.63,1.7,11.23,1.752,0.04
19414,20.183,49.82,1226,415,12923,19423,938.675,2.01,2.08,13.8,2.152,0.049
45501,24.58,52.84,1241,400,12963,19425,938.745,2.22,2.31,15.29,2.384,0.054
24311,-6.885,48.74,1274,400,13008,19413,938.798,2.06,2.14,14.18,2.211,0.05
21373,-3.18,48.47,1299,400,12958,19401,938.705,1.79,1.86,12.33,1.923,0.043
12181,18.159,53.38,990,552,12836,19486,939.018,2.44,2.53,16.76,2.614,0.059
56714,50.01,14.17,1530,400,13685,20285,936.684,0.91,0.94,6.25,0.974,0.022
26273,14.84,53.53,24,400,13068,19954,939.71,0.52,0.54,3.56,0.556,0.013
16540,12.934,52.09,1151,400,12888,19446,938.752,1.86,1.94,12.82,2.0,0.045
10742,3.498,54.01,969,670,12793,19489,939.098,2.26,2.35,15.55,2.424,0.055
34023,18.53,56.69,362,400,13054,19894,939.276,0.5,0.52,3.42,0.534,0.012
8663,-4.966,51.49,344,400,13089,19920,939.319,0.4,0.41,2.72,0.425,0.01
48349,26.75,48.52,1335,400,12976,19392,938.686,1.96,2.04,13.49,2.103,0.048
24631,3.535,47.69,1325,419,12984,19398,938.809,2.22,2.31,15.28,2.382,0.054
19175,20.697,50.41,1239,410,12916,19418,938.722,1.36,1.42,9.39,1.464,0.033
47958,24.62,53.19,1287,406,12966,19395,938.713,1.91,1.99,13.17,2.053,0.046
24197,-9.862,47.86,1170,400,13019,19439,938.752,1.97,2.05,13.56,2.114,0.048
54003,28.69,42.54,170,430,12772,20546,937.426,1.84,1.91,12.65,1.972,0.045
35558,23.58,54.62,967,682,12780,19483,939.103,2.25,2.34,15.47,2.413,0.055
37522,24.61,52.69,1092,561,12829,19461,938.962,1.75,1.82,12.05,1.879,0.042
5137,-8.792,51.42,50,400,13232,20165,939.684,2.18,2.26,15.0,2.34,0.053
51812,26.47,46.27,81,459,12788,20674,937.495,2.31,2.4,15.93,2.484,0.056
19839,17.972,52.13,1201,412,12917,19421,938.72,1.67,1.74,11.51,1.795,0.041
16248,12.367,53.07,1130,400,12883,19444,938.78,1.52,1.58,10.46,1.632,0.037
12645,20.461,52.41,1143,563,12824,19454,938.966,2.01,2.09,13.84,2.158,0.049
60978,17.461,56.59,3377,400,13238,19764,936.915,0.54,0.56,3.74,0.583,0.013
57197,26.566,45.51,20,405,12838,20748,937.546,2.25,2.33,15.47,2.412,0.054
41038,27.06,47.35,1132,406,12878,19448,938.805,1.62,1.69,11.18,1.743,0.039
14142,17.024,52.14,1157,494,12850,19446,938.913,1.75,1.82,12.08,1.883,0.043
11740,14.355,51.93,1128,624,12804,19457,939.065,2.15,2.23,14.77,2.303,0.052
43690,25.1,50.84,1258,410,12903,19419,938.702,1.72,1.79,11.86,1.85,0.042
22142,-14.898,53.42,1287,400,12973,19409,938.731,1.87,1.94,12.86,2.005,0.045
34154,20.8,51.86,374,400,13051,19889,939.254,0.31,0.32,2.15,0.335,0.008
9086,-5.242,57.66,376,400,13045,19887,939.281,0.42,0.44,2.89,0.45,0.01
62227,-21.885,11.94,14670,400,13106,19079,936.708,1.13,1.28,7.55,1.341,0.128
33925,18.27,57.76,360,400,13059,19904,939.243,0.51,0.53,3.51,0.548,0.012
58833,-4.733,44.42,128,400,12792,20594,937.358,1.73,1.8,11.93,1.86,0.042
39171,26.91,47.57,1078,486,12853,19452,938.911,1.52,1.58,10.48,1.634,0.037
4805,-7.372,52.58,27,400,13254,20192,939.666,2.18,2.27,15.01,2.341,0.053
13267,20.491,49.13,1105,522,12844,19456,938.929,2.2,2.28,15.13,2.36,0.053
52735,28.56,42.22,96,400,12789,20628,937.394,1.69,1.76,11.63,1.814,0.041
39193,24.93,51.53,1099,481,12852,19444,938.902,1.95,2.03,13.44,2.096,0.047
17117,14.661,47.85,1111,400,12903,19450,938.796,1.94,2.01,13.35,2.081,0.047
56437,56.74,11.99,60000,1217,12388,17970,936.717,189.45,208.85,1273.73,217.707,16.259
13856,18.402,53.18,1128,509,12845,19441,938.91,2.16,2.24,14.85,2.315,0.052
2440,18.207,47.32,29,400,13212,20127,939.618,1.08,1.13,7.46,1.163,0.026
45243,27.06,47.5,1314,408,12932,19411,938.731,1.84,1.91,12.64,1.972,0.045
43449,25.16,50.34,1239,410,12909,19426,938.718,1.71,1.78,11.8,1.839,0.042
1491,26.007,49.7,9,400,13117,20016,939.716,0.58,0.6,3.96,0.617,0.014
8970,-5.216,55.7,367,400,13055,19890,939.288,0.33,0.35,2.29,0.357,0.008
31917,21.23,49.71,218,400,13143,20047,939.605,0.5,0.52,3.41,0.532,0.012
15998,12.08,51.52,1161,404,12882,19442,938.775,1.56,1.62,10.74,1.674,0.038
54476,28.48,43.5,211,420,12769,20523,937.43,1.46,1.52,10.05,1.567,0.035
37373,26.88,47.28,1082,569,12830,19462,938.982,1.88,1.96,12.97,2.023,0.046
62549,4.058,14.68,984,400,13679,20422,936.675,0.67,0.7,4.62,0.72,0.016
4740,-6.98,54.25,56,400,13239,20157,939.666,2.36,2.45,16.25,2.535,0.057
10810,4.223,54.48,1015,666,12791,19481,939.061,2.25,2.34,15.48,2.413,0.055
46047,24.44,53.56,1343,417,12951,19388,938.693,2.0,2.08,13.75,2.145,0.048
58237,-8.87,42.36,63,400,12786,20665,937.472,2.07,2.15,14.27,2.225,0.05
27330,18.06,50.73,35,400,13194,20126,939.58,1.17,1.21,8.05,1.255,0.028
31366,21.41,50.09,176,400,13162,20081,939.653,0.94,0.98,6.49,1.013,0.023
30147,19.77,54.5,48,400,13233,20165,939.7,2.13,2.22,14.68,2.289,0.052
26307,17.23,49.77,0,400,13105,19988,939.719,0.46,0.48,3.19,0.497,0.011
33412,18.47,56.16,339,400,13094,19925,939.369,0.34,0.36,2.36,0.368,0.008
47193,24.33,54.13,1392,410,12962,19382,938.691,1.75,1.82,12.06,1.88,0.042
55828,46.98,16.21,354,400,13462,20817,936.819,1.42,1.48,9.8,1.529,0.035
15871,12.012,47.12,1203,438,12863,19426,938.8,1.65,1.71,11.36,1.772,0.04
30882,21.62,51.55,57,400,13238,20210,939.649,2.12,2.2,14.56,2.27,0.051
27950,20.91,46.6,147,400,13160,20027,939.632,0.85,0.88,5.82,0.908,0.021
57698,4.963,41.67,61,403,12793,20694,937.546,2.04,2.12,14.06,2.192,0.05
40771,24.49,53.52,1172,416,12878,19445,938.799,1.91,1.98,13.12,2.047,0.046
31199,21.82,48.98,166,400,13176,20103,939.673,0.81,0.84,5.56,0.867,0.02
20226,14.255,50.06,1117,400,12958,19449,938.731,2.09,2.17,14.39,2.243,0.051
7705,-4.084,55.45,261,400,13138,20005,939.457,0.4,0.41,2.73,0.425,0.01
22038,-13.51,48.1,1356,402,12962,19388,938.736,2.2,2.29,15.16,2.364,0.053
48432,24.86,52.04,1383,410,12977,19386,938.698,1.9,1.98,13.09,2.041,0.046
8477,-4.738,56.53,334,400,13098,19931,939.341,0.22,0.22,1.48,0.232,0.005
23942,-15.228,53.64,1318,400,12992,19396,938.738,1.73,1.79,11.87,1.851,0.042
19302,20.483,52.6,1191,401,12926,19423,938.685,1.67,1.73,11.47,1.788,0.04
25893,13.15,55.28,26,400,12991,19902,939.764,0.15,0.16,1.04,0.163,0.004
28010,20.98,46.27,173,400,13154,20001,939.677,0.79,0.82,5.46,0.852,0.019
11451,11.335,53.11,1036,622,12805,19480,939.077,2.13,2.22,14.68,2.289,0.052
43067,26.81,48.33,1163,404,12911,19437,938.677,1.85,1.93,12.76,1.99,0.045
19815,18.147,48.3,1126,400,12933,19443,938.715,1.79,1.86,12.31,1.92,0.043
33587,18.27,57.3,343,400,13087,19918,939.328,0.5,0.52,3.45,0.538,0.012
54490,28.9,42.39,205,448,12767,20522,937.41,1.73,1.8,11.91,1.858,0.042
22565,-19.487,51.03,1224,400,12981,19421,938.766,2.0,2.08,13.78,2.149,0.049
9544,-4.746,62.27,698,804,12730,19561,939.152,2.35,2.44,16.17,2.521,0.057
50082,24.76,43.65,45,1123,13151,19933,931.226,10895.79,21940.96,48306.66,24395.992,10573.469
30821,21.6,51.87,8,400,13267,20245,939.661,2.25,2.34,15.5,2.417,0.055
43635,24.83,52.4,1226,412,12907,19417,938.735,1.34,1.39,9.24,1.441,0.033
62000,-16.309,23.36,60000,24728,10882,15538,936.791,5135.37,11326.06,20293.11,12676.172,5939.508
11730,14.256,47.15,1017,613,12813,19472,939.071,1.97,2.04,13.52,2.109,0.048
40092,24.99,51.31,1113,433,12870,19459,938.851,1.62,1.69,11.17,1.742,0.039
57923,-5.352,47.14,89,400,12784,20664,937.439,1.81,1.88,12.46,1.944,0.044
58395,-6.798,47.0,96,401,12780,20627,937.42,1.79,1.86,12.35,1.926,0.044
49051,24.36,53.75,1277,400,13001,19398,938.743,2.05,2.13,14.12,2.202,0.05
46524,24.51,53.54,1323,407,12955,19394,938.717,1.62,1.68,11.16,1.74,0.039
42362,27.12,47.28,1186,408,12896,19433,938.773,1.89,1.96,12.98,2.025,0.046
37667,26.78,47.92,1048,554,12834,19467,938.989,1.87,1.95,12.89,2.01,0.045
48127,25.27,49.24,1408,434,12960,19371,938.721,1.75,1.82,12.03,1.877,0.042
44101,27.08,47.48,1216,404,12917,19422,938.714,1.59,1.65,10.94,1.705,0.039
2095,21.704,48.96,28,400,13129,20027,939.614,0.85,0.88,5.86,0.914,0.021
36849,25.0,49.95,1157,627,12805,19443,939.048,2.26,2.35,15.54,2.423,0.055
24199,-9.813,47.63,1214,400,13018,19430,938.747,2.06,2.14,14.16,2.208,0.05
37897,26.19,51.69,956,510,12848,19489,938.902,2.2,2.28,15.13,2.36,0.053
9908,-3.403,57.53,707,758,12753,19558,939.145,2.48,2.58,17.07,2.662,0.06
52107,26.48,46.09,100,404,12785,20655,937.522,2.15,2.24,14.82,2.31,0.052
49273,24.73,51.83,1289,400,13001,19401,938.808,2.38,2.48,16.41,2.56,0.058
43402,24.64,53.22,1214,401,12906,19421,938.721,1.56,1.62,10.75,1.677,0.038
22281,-16.608,47.97,1369,414,12960,19390,938.721,1.82,1.89,12.52,1.952,0.044
14808,13.887,52.89,1178,458,12861,19446,938.848,1.66,1.73,11.44,1.783,0.04
4384,-4.265,53.02,84,400,13239,20127,939.653,2.44,2.54,16.8,2.619,0.059
56761,50.52,13.8,1264,400,13666,20354,936.705,0.72,0.74,4.92,0.768,0.017
48534,26.87,48.09,1429,414,12971,19378,938.713,1.57,1.63,10.81,1.686,0.038
33735,18.92,53.52,353,400,13070,19893,939.301,0.21,0.22,1.45,0.225,0.005
2729,14.897,46.56,92,400,13193,20090,939.634,0.96,1.0,6.6,1.029,0.023
53130,26.0,47.3,141,417,12779,20582,937.345,1.93,2.01,13.29,2.073,0.047
42189,25.17,50.31,1218,415,12888,19424,938.779,1.47,1.53,10.13,1.579,0.036
20993,3.131,53.57,1350,410,12943,19389,938.71,2.0,2.07,13.73,2.141,0.048
11048,6.843,53.89,1038,655,12794,19473,939.081,2.38,2.47,16.36,2.552,0.058
55933,42.58,18.49,0,400,13659,21410,936.82,0.85,0.89,5.88,0.916,0.021
43828,24.49,53.67,1201,400,12918,19427,938.711,1.54,1.6,10.59,1.651,0.037
2680,15.477,46.14,94,400,13184,20081,939.666,1.06,1.1,7.26,1.133,0.026
26474,17.47,52.1,0,400,13118,20017,939.704,0.65,0.68,4.5,0.702,0.016
34664,21.26,61.05,862,960,12643,19513,939.14,2.49,2.58,17.11,2.668,0.06
42930,24.48,53.65,1140,408,12903,19438,938.726,1.71,1.78,11.78,1.837,0.041
52432,28.48,42.63,71,400,12790,20651,937.485,1.73,1.8,11.89,1.854,0.042
35742,23.73,54.51,967,669,12792,19490,939.089,2.4,2.49,16.53,2.577,0.058
27622,18.61,49.6,78,400,13193,20100,939.636,0.95,0.99,6.54,1.019,0.023
37843,26.64,48.57,1048,533,12845,19479,938.909,1.91,1.99,13.16,2.053,0.046
47539,24.61,53.22,1331,403,12966,19393,938.774,1.78,1.85,12.23,1.906,0.043
4364,-4.086,52.88,106,400,13220,20105,939.654,2.22,2.31,15.29,2.384,0.054
59249,-0.869,48.85,174,426,12779,20553,937.332,2.02,2.1,13.9,2.167,0.049
61739,1.039,29.77,56910,1073,12461,18407,936.854,64.81,67.34,446.07,69.559,1.571
55787,52.06,13.68,1394,400,13267,20262,936.823,1.09,1.13,7.47,1.165,0.026
9762,-4.063,52.51,687,851,12702,19574,939.107,2.44,2.54,16.81,2.622,0.059
11476,11.607,48.35,1027,618,12808,19460,939.087,2.34,2.43,16.11,2.512,0.057
2022,22.361,47.68,45,400,13137,20015,939.647,0.74,0.77,5.07,0.79,0.018
4704,-6.748,47.76,58,400,13242,20156,939.63,2.08,2.16,14.29,2.229,0.05
60727,13.382,45.12,0,400,13316,21193,937.354,1.58,1.64,10.86,1.694,0.038
41931,26.88,47.88,1159,400,12891,19443,938.756,1.46,1.51,10.01,1.562,0.035
56798,48.2,14.92,1270,400,13651,20351,936.694,0.65,0.67,4.45,0.693,0.016
24531,-0.06,53.88,1369,418,12981,19385,938.772,1.84,1.91,12.68,1.977,0.045
61358,20.022,22.48,17938,601,12715,18973,936.895,0.53,0.55,3.62,0.564,0.013
7677,-4.09,49.72,282,400,13123,19983,939.439,0.44,0.45,3.0,0.467,0.011
18512,20.07,48.03,1299,437,12900,19400,938.748,1.67,1.73,11.47,1.789,0.04
5373,-9.219,50.34,32,400,13241,20201,939.751,2.4,2.49,16.49,2.571,0.058
261,23.28,53.07,39,400,12624,19676,939.822,0.12,0.19,0.62,0.205,0.069
39644,26.74,48.49,1136,455,12867,19452,938.858,1.97,2.04,13.54,2.111,0.048
50355,37.77,18.39,870,17235,11671,19237,930.933,29.96,31.13,206.21,32.156,0.726
24032,-13.532,48.35,1404,416,12977,19380,938.761,1.52,1.58,10.48,1.635,0.037
60797,14.324,49.81,331,400,12876,20822,937.009,1.66,1.72,11.39,1.777,0.04
17079,14.527,51.9,1166,420,12886,19431,938.803,1.79,1.86,12.35,1.926,0.043
61614,9.634,17.35,62,400,13551,21086,936.826,0.86,0.89,5.92,0.923,0.021
9044,-5.238,58.12,351,400,13071,19918,939.278,0.3,0.31,2.06,0.321,0.007
11359,10.324,48.58,1063,621,12808,19471,939.104,2.07,2.15,14.26,2.223,0.05
55939,40.91,21.86,0,400,13599,21268,936.836,0.82,0.86,5.67,0.884,0.02
12814,20.777,49.21,1094,565,12822,19460,938.925,2.1,2.18,14.44,2.252,0.051
13451,19.999,48.16,1145,509,12841,19453,938.877,1.74,1.8,11.94,1.862,0.042
23213,-21.942,53.93,1371,407,12971,19380,938.701,1.85,1.92,12.71,1.982,0.045
58935,-5.19,47.45,129,417,12781,20604,937.334,1.82,1.89,12.51,1.95,0.044
3761,2.241,50.35,200,400,13170,20004,939.666,2.14,2.22,14.7,2.292,0.052
16467,12.771,47.26,1117,400,12891,19450,938.757,1.68,1.75,11.57,1.804,0.041
20649,8.554,48.11,1025,400,13005,19475,938.717,2.19,2.27,15.05,2.348,0.053
29852,19.81,54.87,30,400,13251,20187,939.674,2.5,2.6,17.22,2.684,0.061
50761,39.41,14.28,0,1203,12965,20735,930.89,0.97,1.01,6.71,1.046,0.024
46440,27.01,47.57,1339,405,12959,19406,938.713,1.84,1.91,12.65,1.972,0.045
61861,-7.717,27.22,60000,13756,11191,16383,936.856,6180.75,6607.9,42071.46,6856.391,330.691
45534,26.92,47.16,1099,400,12984,19456,938.727,2.09,2.17,14.36,2.239,0.051
51610,29.55,39.87,78,401,12829,20693,937.536,1.94,2.02,13.38,2.086,0.047
32493,20.78,50.67,266,400,13121,19992,939.488,0.58,0.61,4.02,0.626,0.014
1523,25.852,55.52,19,400,13106,19996,939.677,0.58,0.61,4.02,0.627,0.014
54068,28.82,42.26,170,413,12776,20553,937.398,1.86,1.94,12.82,1.999,0.045
46528,24.41,53.76,1356,400,12958,19393,938.729,1.64,1.71,11.3,1.762,0.04
353,24.178,51.06,7,400,12702,19744,939.821,0.08,0.11,0.49,0.116,0.026
1570,25.608,53.33,22,400,13107,19991,939.655,0.74,0.77,5.08,0.791,0.018
24695,6.003,50.8,1377,422,12981,19391,938.809,1.91,1.98,13.15,2.05,0.046
5865,-8.899,55.06,21,400,13251,20249,939.676,2.54,2.64,17.47,2.725,0.062
34612,22.15,62.66,688,717,12782,19566,939.132,2.82,2.93,19.42,3.028,0.068
18736,20.561,48.02,1212,400,12915,19428,938.704,1.5,1.56,10.35,1.615,0.036
8865,-5.156,57.03,366,400,13065,19899,939.281,0.57,0.59,3.93,0.613,0.014
34101,20.74,52.1,368,400,13050,19893,939.278,0.4,0.42,2.76,0.43,0.01
26176,14.08,56.19,26,400,13055,19942,939.777,0.33,0.34,2.28,0.356,0.008
41077,26.2,52.04,1115,400,12891,19450,938.772,1.94,2.02,13.38,2.087,0.047
31158,19.46,54.47,166,400,13175,20102,939.662,1.17,1.21,8.03,1.253,0.028
16152,12.234,48.34,1163,409,12878,19442,938.786,1.63,1.69,11.19,1.744,0.039
51543,29.46,40.11,75,400,12833,20709,937.536,1.99,2.07,13.7,2.137,0.048
7255,-4.638,56.77,244,400,13139,20015,939.508,0.43,0.45,2.95,0.46,0.01
3348,7.258,61.94,259,400,13153,19957,939.664,1.9,1.97,13.07,2.039,0.046
5835,-8.956,50.15,6,400,13278,20253,939.638,2.31,2.4,15.91,2.481,0.056
6851,-5.807,50.81,213,400,13152,20057,939.591,0.45,0.47,3.09,0.481,0.011
39628,24.54,53.2,1205,481,12855,19422,938.873,2.06,2.14,14.19,2.212,0.05
471,25.143,51.03,4,400,12772,19778,939.835,0.15,0.17,0.96,0.179,0.022
32948,19.82,49.64,314,400,13099,19952,939.405,0.47,0.49,3.24,0.506,0.011
41367,24.55,53.38,1161,402,12887,19442,938.758,1.7,1.77,11.69,1.824,0.041
18848,20.71,49.42,1155,400,12922,19437,938.714,1.6,1.66,10.98,1.713,0.039
12362,19.304,52.58,1005,554,12837,19484,938.991,1.88,1.96,12.96,2.021,0.046
800,26.797,57.6,9,400,12954,19895,939.793,0.16,0.16,1.08,0.169,0.004
11582,12.739,52.95,990,582,12822,19489,939.057,1.94,2.02,13.35,2.082,0.047
28124,20.83,47.92,168,400,13158,20007,939.625,0.95,0.99,6.53,1.018,0.023
36542,26.8,47.36,1071,623,12812,19462,939.062,2.29,2.38,15.75,2.456,0.055
15938,12.041,51.48,1189,437,12867,19431,938.769,1.86,1.93,12.81,1.998,0.045
22826,-21.251,47.73,1343,402,12972,19393,938.743,2.12,2.21,14.62,2.279,0.051
51932,26.41,46.42,83,426,12779,20669,937.566,1.91,1.99,13.16,2.052,0.046
60408,12.384,39.51,0,400,13154,20968,937.455,2.09,2.17,14.37,2.242,0.051
33309,18.28,56.92,330,400,13099,19934,939.392,0.41,0.42,2.81,0.438,0.01
48341,26.41,50.16,1343,400,12976,19394,938.689,1.73,1.8,11.89,1.855,0.042
52586,26.29,46.42,85,400,12784,20642,937.453,1.76,1.83,12.1,1.886,0.043
47261,26.44,50.03,1360,400,12966,19396,938.713,2.0,2.07,13.73,2.141,0.048
60896,15.947,61.82,2203,400,13354,20067,937.025,0.6,0.63,4.15,0.647,0.015
24049,-13.188,53.49,1341,400,12993,19389,938.76,2.08,2.16,14.3,2.23,0.05
27585,17.88,53.51,72,400,13192,20106,939.638,0.88,0.92,6.09,0.949,0.021
56384,59.14,11.91,60000,9765,11378,16807,936.725,2164.28,2573.21,14080.35,2711.047,367.543
40378,27.06,47.25,1172,433,12870,19438,938.831,1.97,2.04,13.53,2.11,0.048
12909,20.845,48.59,1088,538,12836,19462,938.91,2.02,2.1,13.93,2.172,0.049
9351,-5.09,60.16,644,569,12856,19619,939.255,2.54,2.64,17.52,2.731,0.062
37215,24.75,51.91,1011,577,12822,19469,939.03,2.07,2.15,14.26,2.224,0.05
16745,13.464,50.57,1088,400,12895,19454,938.746,1.6,1.66,11.02,1.718,0.039
41896,24.79,52.5,1149,404,12891,19442,938.773,2.42,2.52,16.66,2.599,0.059
45126,25.55,48.33,1262,404,12929,19414,938.736,1.72,1.79,11.83,1.845,0.042
46742,27.01,47.58,1302,400,12962,19395,938.715,2.23,2.31,15.32,2.388,0.054
10153,-1.881,56.96,906,714,12767,19498,939.081,2.38,2.47,16.36,2.55,0.058
4510,-5.328,49.57,43,400,13262,20181,939.637,2.2,2.29,15.14,2.361,0.053
53025,27.19,48.05,105,400,12796,20615,937.39,2.11,2.19,14.51,2.263,0.051
23815,-17.27,54.08,1434,425,12970,19371,938.679,1.71,1.77,11.75,1.833,0.041
18692,20.483,48.06,1270,422,12899,19412,938.709,1.71,1.77,11.75,1.832,0.041
60863,15.374,74.34,1410,400,13381,20267,937.067,0.9,0.93,6.16,0.961,0.022
4884,-7.801,48.62,32,400,13247,20182,939.692,2.31,2.4,15.93,2.484,0.056
16039,12.114,47.62,1159,411,12885,19446,938.792,1.71,1.77,11.74,1.83,0.041
38608,24.54,53.11,1109,514,12848,19455,938.879,1.79,1.86,12.32,1.921,0.043
2807,13.962,50.5,126,400,13171,20042,939.644,0.84,0.87,5.76,0.898,0.02
58197,-9.152,40.71,61,400,12795,20671,937.485,1.76,1.83,12.13,1.892,0.043
39208,24.54,53.17,1103,488,12844,19442,938.92,2.32,2.41,15.95,2.487,0.056
30159,21.52,52.92,29,400,13248,20189,939.682,2.35,2.44,16.19,2.524,0.057
20052,16.135,48.67,1228,406,12929,19415,938.743,1.48,1.54,10.22,1.593,0.036
50367,38.74,16.66,199,4019,12455,19785,930.958,10.69,11.1,73.56,11.471,0.259
51704,26.36,46.73,63,400,12831,20708,937.484,1.94,2.01,13.33,2.078,0.047
43653,24.45,53.81,1237,410,12913,19421,938.72,1.54,1.6,10.57,1.648,0.037
58743,-4.26,44.56,168,429,12774,20554,937.379,1.92,1.99,13.2,2.059,0.046
47581,26.98,47.72,1264,400,12969,19400,938.753,1.92,2.0,13.24,2.064,0.047
35015,22.63,56.52,833,719,12770,19522,939.136,2.26,2.35,15.59,2.431,0.055
39064,27.15,46.94,1078,479,12853,19455,938.909,1.88,1.95,12.91,2.012,0.045
60355,12.904,39.72,0,400,13055,20919,937.449,1.81,1.88,12.45,1.941,0.044
13342,20.312,47.11,1140,522,12841,19445,938.886,1.85,1.93,12.77,1.991,0.045
56923,22.154,39.04,28,432,12863,20760,937.587,1.99,2.07,13.69,2.135,0.048
42658,27.06,47.5,1140,404,12905,19442,938.722,1.73,1.8,11.9,1.856,0.042
44838,24.65,53.03,1172,414,12928,19437,938.721,1.46,1.51,10.02,1.562,0.035
44355,24.83,52.46,1191,401,12924,19423,938.682,1.76,1.83,12.1,1.887,0.043
19602,19.427,52.66,1253,416,12923,19418,938.711,1.42,1.47,9.75,1.52,0.034
24666,4.868,50.64,1289,401,12995,19405,938.801,2.02,2.1,13.93,2.172,0.049
51044,32.08,18.26,158,2224,12618,20540,930.903,0.77,0.8,5.31,0.828,0.019
62527,0.568,15.8,1030,400,13686,20406,936.719,0.58,0.6,3.96,0.618,0.014
27735,19.74,45.77,114,400,13174,20062,939.619,1.01,1.05,6.98,1.089,0.025
28116,18.57,51.73,177,400,13150,19995,939.655,0.86,0.9,5.95,0.927,0.021
8745,-5.053,55.1,358,400,13070,19908,939.283,0.27,0.28,1.87,0.291,0.007
44273,26.95,47.86,1182,400,12921,19432,938.688,1.39,1.44,9.56,1.49,0.034
4644,-6.339,47.78,47,400,13250,20166,939.673,2.15,2.23,14.77,2.302,0.052
46862,26.99,47.65,1312,400,12964,19396,938.726,2.2,2.28,15.12,2.359,0.053
18598,20.286,53.8,1226,406,12907,19415,938.715,1.8,1.87,12.37,1.929,0.044
15443,12.208,47.24,1136,419,12875,19443,938.824,1.81,1.88,12.47,1.945,0.044
23011,-21.895,47.65,1383,416,12960,19378,938.746,1.85,1.92,12.73,1.985,0.045
29791,19.82,54.37,37,400,13247,20180,939.641,2.36,2.46,16.26,2.536,0.057
54946,26.26,43.56,0,400,13505,21360,937.41,1.83,1.9,12.56,1.959,0.044
45598,26.95,46.48,908,400,13024,19497,938.739,2.4,2.49,16.5,2.572,0.058
61685,4.887,24.56,105,400,13540,21107,936.84,0.81,0.84,5.56,0.867,0.02
26275,14.76,54.21,30,400,13058,19936,939.703,0.5,0.52,3.41,0.532,0.012
16529,12.909,47.29,1111,400,12893,19452,938.768,1.64,1.7,11.26,1.755,0.04
26161,14.73,51.44,41,400,13041,19926,939.787,0.38,0.39,2.61,0.407,0.009
16107,12.181,47.27,1184,405,12877,19426,938.766,1.92,1.99,13.21,2.06,0.047
5048,-8.51,51.11,40,400,13250,20178,939.679,1.91,1.99,13.16,2.052,0.046
43045,24.55,53.4,1178,403,12912,19443,938.697,1.9,1.97,13.07,2.039,0.046
16437,12.708,53.55,1145,401,12887,19445,938.738,1.48,1.54,10.21,1.592,0.036
1822,23.985,54.85,64,400,13112,19982,939.623,0.82,0.85,5.63,0.878,0.02
62212,-21.986,11.08,47453,402,12819,18558,936.713,11.62,12.9,77.89,13.459,1.085
47670,24.38,54.04,1350,410,12963,19390,938.723,2.2,2.29,15.14,2.361,0.053
39902,27.12,47.05,1138,461,12866,19449,938.816,1.81,1.88,12.46,1.943,0.044
6976,-5.401,50.25,223,400,13141,20039,939.577,0.68,0.71,4.71,0.734,0.017
29644,22.48,47.47,52,400,13246,20167,939.657,2.2,2.29,15.15,2.363,0.053
28023,21.28,45.15,173,400,13151,20001,939.671,0.84,0.88,5.8,0.905,0.02
